sp,quadrat,lx,ly,tag ,stemtag,census#,exactdate,measure,codes,status,notes,N/S
litu,1929,18.9,3.8,192542,1,,,,,,,N
litu,1929,14.9,4.4,192543,1,,,,,,,N
litu,1929,14.4,1.8,192544,1,,,,,,,N
litu,1929,17.4,7.3,192546,1,,,,,,,N
litu,1929,15.3,11.3,192548,1,,,,,,,N
qual,1930,12.9,19.5,192560,1,,,,,,,N
fram,1931,16.4,16.3,192570,1,,,,,,,N
quru,1926,12.6,8.5,192619,1,,,,,,,N
litu,1929,9.5,2.8,192674,1,,,,,,,N
litu,2001,3.6,9.6,200038,1,,,,,,,S
litu,2001,3.6,9.6,200038,2,,,,,,,S
litu,2002,1.3,3.5,200142,1,,,,,,,S
litu,2002,6.9,4.0,200151,1,,,,,,,S
litu,2005,2.6,1.1,200547,1,,,,,,,S
litu,2005,1.0,5.3,200551,1,,,,,,,S
litu,2005,1.2,8.1,200553,1,,,,,,,S
juni,2007,8.8,9.6,200577,1,,,,,,,S
juni,2007,2.0,13.9,200586,1,,,,,,,S
litu,2004,10.1,16.2,200613,1,,,,,,,S
litu,2008,12.2,5.9,200676,1,,,,,,,S
juni,2008,8.0,1.2,200812,1,,,,,,,S
litu,2008,4.4,3.9,200818,1,,,,,,,S
litu,2008,8.7,10.3,200822,1,,,,,,,S
litu,2012,10.0,17.3,201207,1,,,,,,,S
fram,2011,19.2,10.0,201208,1,,,,,,,S
fram,2013,7.8,4.6,201248,1,,,,,,,S
caco,2013,0.3,13.7,201252,1,,,,,,,S
juni,2013,0.3,17.3,201261,1,,,,,,,S
ulru,2013,4.6,19.1,201263,1,,,,,,,S
litu,2014,0.3,6.8,201264,1,,,,,,,S
litu,2014,5.3,8.9,201274,1,,,,,,,S
litu,2014,2.2,11.8,201278,1,,,,,,,S
quru,2014,1.9,13.0,201279,1,,,,,,,S
quve,2016,0.3,12.5,201432,1,,,,,,,N
litu,2016,11.8,19.2,201441,1,,,,,,,N
qual,2019,9.2,14.5,202050,1,,,,,,,N
qual,2020,2.1,10.8,202072,1,,,,,,,N
quve,2023,12.8,3.5,202118,1,,,,,,,N
cato,2017,3.2,1.1,202201,1,,,,,,,N
quru,2017,9.2,1.4,202203,1,,,,,,,N
quve,2017,4.3,9.5,202212,1,,,,,,,N
qual,2017,5.5,11.7,202215,1,,,,,,,N
litu,2020,4.5,2.9,202283,1,,,,,,,N
cagl,2022,3.0,10.7,202336,1,,,,,,,N
cagl,2023,1.0,0.2,202337,1,,,,,,,N
litu,2025,0.9,12.5,202444,1,,,,,,,N
litu,2026,0.0,1.0,202449,1,,,,,,,N
fram,2028,9.5,13.3,202536,1,,,,,,,N
fram,2028,2.5,15.0,202541,1,,,,,,,N
litu,2028,0.5,15.6,202543,1,,,,,,,N
litu,2029,4.5,2.6,202545,1,,,,,,,N
litu,2029,2.1,10.7,202550,1,,,,,,,N
fram,2031,2.4,16.7,202581,1,,,,,,,N
fram,2031,2.7,19.3,202584,1,,,,,,,N
juni,2032,1.0,4.8,202585,1,,,,,,,N
fram,2032,4.2,5.3,202586,1,,,,,,,N
litu,2025,1.2,17.4,202671,1,,,,,,,N
fram,2032,5.6,10.2,202971,1,,,,,,,N
